id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1289924033790668801,1289923345593450496,1596376829000,2020-08-02,17:00:29,???? º?? ???????,1192661545014063104,sanjivk78902990,Sanjiv Kumar Mishra,,Sir EWS student are waiting for age relaxation some state provide age relaxation for EWS. Sir it's most important because covid 19 disturbed also student physically and mentally.,['swamy39'],[],[],0,0,0,[],[],https://twitter.com/SanjivK78902990/status/1289924033790668801,False,,0,,,,,,,"[{'user_id': '1192661545014063104', 'username': 'SanjivK78902990'}, {'user_id': '60937837', 'username': 'Swamy39'}]",,,,
1289924032171618308,1289924032171618308,1596376829000,2020-08-02,17:00:29,???? º?? ???????,562165828,vanorthtexas,VA North Texas Health Care System,,#VA Chaplaincy has gotten pretty creative in providing spiritual care during the #COVID—19 pandemic:  https://www.blogs.va.gov/VAntage/77340/ministering-spiritual-needs-front-lines-covid-19/ … pic.twitter.com/8S8HWDPBob,[],['https://www.blogs.va.gov/VAntage/77340/ministering-spiritual-needs-front-lines-covid-19/'],['https://pbs.twimg.com/media/Eea7ElqXkAEDkn6.jpg'],0,0,0,"['#va', '#covid']",[],https://twitter.com/VANorthTexas/status/1289924032171618308,False,,0,,,,,,,"[{'user_id': '562165828', 'username': 'VANorthTexas'}]",,,,
1289924031886458881,1289924031886458881,1596376829000,2020-08-02,17:00:29,???? º?? ???????,3308826022,yhaw_,Ragnarok,,Covid-19 has been the epitome of many things this year.,[],[],[],0,0,0,[],[],https://twitter.com/yhaw_/status/1289924031886458881,False,,0,,,,,,,"[{'user_id': '3308826022', 'username': 'yhaw_'}]",,,,
1289924030582030343,1289924030582030343,1596376829000,2020-08-02,17:00:29,???? º?? ???????,2412739760,moetitshidi,Dr Matshidiso Moeti,,"Thanks to @RFIAfrique for having me as a guest on  Priorité Santé. It’s so important the work that you do in keeping people across #Africa informed about the latest news on #COVID19.

 https://bit.ly/30iDb0U ",['rfiafrique'],['https://bit.ly/30iDb0U'],[],0,0,0,"['#africa', '#covid19']",[],https://twitter.com/MoetiTshidi/status/1289924030582030343,False,,0,,,,,,,"[{'user_id': '2412739760', 'username': 'MoetiTshidi'}, {'user_id': '1070877486', 'username': 'RFIAfrique'}]",,,,
1289924030405857281,1289924030405857281,1596376829000,2020-08-02,17:00:29,???? º?? ???????,563867081,casino_org,CasinoOrg,,"⚾ @Cardinals players who tested positive for #covid19 were said by analyst to have visited casino before outbreak hit team.
 https://www.casino.org/news/baseball-analyst-says-cardinals-players-hit-casino-before-covid-tests/ … pic.twitter.com/OFy3xtfURn",['cardinals'],['https://www.casino.org/news/baseball-analyst-says-cardinals-players-hit-casino-before-covid-tests/'],['https://pbs.twimg.com/media/Eea7EfEWsAAD0MX.jpg'],0,0,0,['#covid19'],[],https://twitter.com/Casino_Org/status/1289924030405857281,False,,0,,,,,,,"[{'user_id': '563867081', 'username': 'Casino_Org'}, {'user_id': '52847728', 'username': 'Cardinals'}]",,,,
1289924027885088769,1289923802906808320,1596376828000,2020-08-02,17:00:28,???? º?? ???????,1263791774335553536,gangulysridip,Sridip Ganguly,,"We urge @aajtak @indiatv @ZeeNewsEnglish @BBCIndia @PragNews @DY365 to help us
raise our issues regarding #ReduceReimburse #ReduceNITtuitionfees due to #COVID19
Verbal assurances are in vain and there is a lack of concrete measures @HRDMinistry
@DrRPNishank @PMOIndia
#mhrd","['aajtak', 'indiatv', 'zeenewsenglish', 'bbcindia', 'pragnews', 'dy365', 'hrdministry', 'drrpnishank', 'pmoindia']",[],[],0,0,0,"['#reducereimburse', '#reducenittuitionfees', '#covid19', '#mhrd']",[],https://twitter.com/GangulySridip/status/1289924027885088769,False,,0,,,,,,,"[{'user_id': '1263791774335553536', 'username': 'GangulySridip'}, {'user_id': '42606652', 'username': 'aajtak'}, {'user_id': '1043484115289296903', 'username': 'indiatv'}, {'user_id': '18071358', 'username': 'ZeeNewsEnglish'}, {'user_id': '442782547', 'username': 'BBCIndia'}, {'user_id': '776063255198388226', 'username': 'PragNews'}, {'user_id': '112404600', 'username': 'DY365'}, {'user_id': '2574232910', 'username': 'HRDMinistry'}, {'user_id': '2617066206', 'username': 'DrRPNishank'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",,,,
1289924027255943170,1289924027255943170,1596376828000,2020-08-02,17:00:28,???? º?? ???????,493600956,ravenwolftammy,Tammy Ravenwolf,,Coronavirus: Promising COVID-19 drug therapies underway in Canada  https://youtu.be/lv8F8kwZY2s  via @YouTube,['youtube'],['https://youtu.be/lv8F8kwZY2s'],[],0,0,0,[],[],https://twitter.com/RavenwolfTammy/status/1289924027255943170,False,,0,,,,,,,"[{'user_id': '493600956', 'username': 'RavenwolfTammy'}, {'user_id': '10228272', 'username': 'YouTube'}]",,,,
1289924026626973697,1289924026626973697,1596376828000,2020-08-02,17:00:28,???? º?? ???????,1116005584820740096,mckzmyers,McKenzie Myers,,Does anyone know if @NCState is making COVID-19 case data publicly available?  https://twitter.com/JenniferStandi5/status/1289623533023182849 …,['ncstate'],['https://twitter.com/JenniferStandi5/status/1289623533023182849'],[],0,0,0,[],[],https://twitter.com/mckzmyers/status/1289924026626973697,False,https://twitter.com/JenniferStandi5/status/1289623533023182849,0,,,,,,,"[{'user_id': '1116005584820740096', 'username': 'mckzmyers'}, {'user_id': '487624974', 'username': 'NCState'}]",,,,
1289924026081533953,1289924026081533953,1596376828000,2020-08-02,17:00:28,???? º?? ???????,123675833,gallagherglobal,Gallagher,,"How are your peers reacting to COVID-19, and what makes sense for your organization? Take the survey and determine your next steps with benchmarking data.  https://bit.ly/33iW7yD  pic.twitter.com/thgj4UqFYd",[],['https://bit.ly/33iW7yD'],['https://pbs.twimg.com/media/Eea7EOFWoAI4ihW.jpg'],0,0,0,[],[],https://twitter.com/GallagherGlobal/status/1289924026081533953,False,,0,,,,,,,"[{'user_id': '123675833', 'username': 'GallagherGlobal'}]",,,,
1289924025511055360,1289924025511055360,1596376827000,2020-08-02,17:00:27,???? º?? ???????,1897987772,artrageousninja,𝗝𝗼𝗔𝗻𝗻𝗲,,TBH we need a category 4 rn so Florida can learn a lesson and everyone can stay TF INSIDE so our COVID cases go down 🤦‍♀️ if the government can’t stop them Mother Nature absolutely will. #Covid_19 #COVIDIOTS,[],[],[],0,0,0,"['#covid_19', '#covidiots']",[],https://twitter.com/artrageousninja/status/1289924025511055360,False,,0,,,,,,,"[{'user_id': '1897987772', 'username': 'artrageousninja'}]",,,,
